Property,Sum - Count
http://data.linkedmdb.org/resource/movie/producer,35388
http://worldbank.270a.info/property/fund-name,35065
http://openprovenance.org/model/opmo#time,35043
http://education.data.gov.uk/def/school/gender,34640
http://publishmydata.com/def/statistics#ageRange,34378
http://publishmydata.com/def/statistics#population,34378
http://education.data.gov.uk/def/school/statutoryHighAge,34279
http://education.data.gov.uk/def/school/statutoryLowAge,34230
http://www.fer.hr/projekt#abbreviation,34030
http://opendatacommunities.org/def/IMD#IMD-score,32482
http://education.data.gov.uk/def/school/marketingOptInOut,32479
http://www.w3.org/2006/vcard/ns#fax,32395
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#regionCoverage,32318
http://govwild.org/ontology/profession,32211
http://rs.tdwg.org/dwc/terms/vernacularName,32196
http://iflastandards.info/ns/isbd/elements/hasEditionStatement,32099
http://worldbank.270a.info/property/sector,31936
http://purl.org/NET/c4dm/event.owl#sub_event,30062
http://education.data.gov.uk/def/school/phaseOfEducation,29806
http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,29433
http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#typicalSpecies,29262
http://govwild.org/ontology/placeOfBirth,29257
http://worldbank.270a.info/property/theme,29049
http://education.data.gov.uk/def/school/burnhamReport,28863
http://govwild.org/ontology/month,28771
http://govwild.org/ontology/day,28610
http://data.linkedmdb.org/resource/movie/writer,28549
http://data.linkedmdb.org/resource/movie/language,28253
http://www.w3.org/2006/vcard/ns#email,27838
